annee,niveau_mer_brest,niveau_mer_marseille,niveau_mer_le_havre,niveau_mer_st._malo,niveau_mer_calais,niveau_mer_st._nazaire,niveau_mer_le_verdon,niveau_mer_la_rochelle_la_pallice,niveau_mer_cherbourg,niveau_mer_dunkerque,niveau_mer_st_jean_de_luz_(socoa),niveau_mer_boulogne,niveau_mer_dieppe,niveau_mer_sete,niveau_mer_toulon,niveau_mer_pointe_st._gildas,niveau_mer_port_tudy,niveau_mer_le_conquet,niveau_mer_concarneau,niveau_mer_roscoff,niveau_mer_antifer,niveau_mer_nice,niveau_mer_port_vendres,niveau_mer_les_sables_d_olonne,niveau_mer_boucau,niveau_mer_port_bloc,niveau_mer_arcachon_eyrac,niveau_mer_le_crouesty,niveau_mer_ajaccio,niveau_mer_centuri,niveau_mer_solenzara,niveau_mer_port_ferreol,niveau_mer_fos_sur_mer,niveau_mer_ile_d'aix,niveau_mer_mimizan,niveau_mer_port_la_nouvelle,niveau_mer_mm
1986,108.91666666666697,52.25,33.90909090909099,0.0,,28.41666666666697,,,44.233333333332666,123.33333333333303,49.30000000000018,142.66666666666697,,,,-26.625,1.0833333333330302,-4.66666666666697,,65.64646464646466,,74.91666666666697,36.66666666666697,,-14.297619047618355,,,,,,,,,,,,44.734350198412756
1987,145.0,68.72222222222263,82.33333333333303,,-131.42857142857156,54.57575757575796,,,60.58181818181765,243.85000000000036,93.69999999999982,158.81818181818198,293.25,,,12.41666666666697,44.08333333333303,30.33333333333303,-41.33333333333303,118.55555555555566,,84.16666666666697,63.58333333333303,,29.285714285714675,,,,,,,,,,,,78.3607784191118
1988,152.83333333333394,45.5,104.90909090909099,,-86.42857142857156,72.16666666666697,,,73.0666666666666,266.4499999999998,95.16666666666697,225.27272727272702,240.58333333333303,,,-21.40909090909099,42.0,43.25,,97.80555555555566,,56.66666666666697,38.16666666666697,,59.46753246753269,,45.66666666666697,,,,,,,,,,86.17410614077289
1989,154.66666666666697,,81.33333333333303,,-28.92857142857156,17.66666666666697,,,69.48333333333267,38.25,43.58333333333303,155.71428571428532,179.44047619047615,,,,36.41666666666606,37.08333333333303,,89.80555555555566,,128.5,26.5,19.5,-7.547619047618355,,106.0,,,,,,,,,,67.498085901027
1990,138.25,,59.83333333333303,,-155.42857142857156,-17.83333333333303,,,36.399999999999636,141.25,89.5,166.0,,,,,-1.8333333333339397,17.25,,69.22222222222263,,138.25,26.25,9.25,-4.047619047618355,,,,,,,,,,,,47.487513227513226
1991,105.58333333333394,,7.16666666666697,,-179.42857142857156,-19.66666666666606,,,-5.850000000000364,109.25,161.66666666666697,82.25,,,20.08333333333303,,-6.5,-2.3333333333339397,,32.222222222222626,,123.0,32.91666666666697,7.25,-62.964285714285325,,,,,,,,,,,,25.29037698412708
1992,109.83333333333394,,12.33333333333303,-45.66666666666697,-217.70129870129858,-2.0,,,10.066666666666606,12.75,75.5,373.0,,0.0,27.08333333333303,,3.696969696969063,-12.75,,51.88888888888869,,125.08333333333303,37.83333333333303,-22.58333333333394,43.452380952381645,,-46.0,,,,,,,,,,28.201067061593292
1993,138.66666666666697,,67.125,-61.66666666666697,-212.92857142857156,28.91666666666697,,,40.12727272727261,,129.16666666666697,,180.83333333333303,7.7979797979796786,-56.016666666667334,,33.33333333333303,40.58333333333303,,95.05555555555566,,133.25,41.91666666666697,-12.41666666666697,-21.130952380952294,,,,,,,,,,,,33.68311476105587
1994,166.83333333333394,,78.91666666666697,-9.466666666667152,-39.92857142857156,71.91666666666697,,,90.89999999999964,,112.09090909090901,,213.67424242424204,-21.34090909090901,-39.87121212121201,,60.83333333333303,63.41666666666606,,69.43055555555566,,129.91666666666697,47.58333333333303,-0.08333333333393966,22.202380952381645,,,,,,,,,,,,59.82494482641537
1995,166.41666666666697,,92.33333333333303,-5.75,-112.12857142857138,51.0,,114.14285714285688,98.64999999999964,175.25,124.75,,163.25,,-21.5,,41.78787878787807,75.5,,134.1388888888887,,,35.272727272727025,40.66666666666606,42.202380952381645,,,,,,,,,,,,71.52840166369569
1996,159.25,,37.0,-12.848484848484986,,34.25,,,53.233333333332666,171.91666666666697,118.33333333333303,,,91.32575757575796,43.16666666666606,,61.75,81.0,,101.22222222222263,,,112.75,54.91666666666606,68.95238095238165,,,0.0,70.30000000000018,,,,,,,,73.32462015109071
1997,168.83333333333394,,46.0,-24.83333333333394,,37.91666666666697,,155.4761904761899,69.89999999999964,68.82142857142844,201.77777777777737,315.0,202.25,85.15909090909099,17.33333333333303,,71.15151515151501,94.5,,119.63888888888869,,,77.80000000000018,60.58333333333303,,,,-46.0,30.925000000000182,,,,,,,,92.22280132148545
1998,153.83333333333394,35.5,59.08333333333303,16.91666666666606,-3.7619047619045887,56.0,,100.72619047618991,77.73333333333267,102.58333333333303,181.60000000000036,231.5,,37.80909090909063,-16.861111111111313,,44.63333333333321,77.25,,97.30555555555566,,135.21428571428532,,35.83333333333303,,,,,,,,,,,,,79.04993185826505
1999,160.58333333333394,85.91666666666697,105.08333333333303,4.75,-45.76190476190459,42.83333333333394,,108.55952380952385,65.48333333333267,146.83333333333303,,,,33.49242424242402,-39.5,,73.63333333333321,83.66666666666606,65.16666666666697,101.22222222222263,,98.16666666666697,,36.969696969697,81.45238095238165,,,-45.5,,,,,,,,,61.213211057947966
2000,187.16666666666697,92.0,119.91666666666697,38.08333333333303,-22.42857142857156,100.75,,132.9761904761899,91.14999999999964,148.08333333333303,,317.0,,44.40909090909099,-41.16666666666697,,97.91666666666606,93.33333333333303,59.75,143.05555555555566,,99.08333333333303,,121.73333333333267,85.70238095238165,24.375,,-249.0,63.80000000000018,,,,,,,,79.44043847566564
2001,179.33333333333394,95.66666666666697,109.5,22.91666666666606,-39.33766233766255,97.66666666666697,,141.80952380952385,90.64999999999964,196.25,,242.375,270.91666666666606,54.82575757575796,-11.16666666666697,,90.75,68.1111111111104,58.41666666666697,112.38888888888869,,123.25,,95.16666666666606,80.64935064935071,191.20833333333303,-17.875,-63.0,43.80000000000018,,,,,,,,93.09466540404033
2002,190.66666666666697,90.22727272727298,127.81818181818198,47.33333333333303,-52.67857142857156,74.939393939394,,141.80952380952385,102.8166666666666,183.5,,226.5,293.20833333333303,68.65909090909099,0.08333333333303017,,85.41666666666606,138.08333333333303,58.16666666666697,94.33333333333303,,128.66666666666697,,72.25,66.74025974025972,63.73863636363603,21.45454545454504,0.3636363636360329,48.30000000000018,,,,,,,,94.683207070707
